カテゴリ	ファイル	日本語文言	想定翻訳キー	優先度
ワークフロー	public/js/workflow-form-designer.js:702	App.showNotification(response.message || 'フィールドを保存しました', 'success');	workflow.workflow_form_designer.l702	P1
ワークフロー	public/js/workflow-form-designer.js:704	App.showNotification(response.error || 'フィールドの保存に失敗しました', 'error');	workflow.workflow_form_designer.l704	P1
ワークフロー	public/js/workflow-form-designer.js:709	App.showNotification('フィールドの保存に失敗しました', 'error');	workflow.workflow_form_designer.l709	P1
ワークフロー	views/workflow/template_selector.php:2	$pageTitle = '申請テンプレート選択';	workflow.template_selector.l2	P1
ワークフロー	views/workflow/template_selector.php:7	<h1 class="h3 mb-1">新規申請</h1>	workflow.template_selector.l7	P1
バリデーション	views/workflow/template_selector.php:8	<p class="text-muted mb-0">申請したいテンプレートを選択してください。</p>	validation.template_selector.l8	P1
ワークフロー	views/workflow/template_selector.php:12	<i class="fas fa-arrow-left"></i> 申請一覧へ戻る	workflow.template_selector.l12	P1
ワークフロー	views/workflow/template_selector.php:21	<label for="search" class="form-label">テンプレート検索</label>	workflow.template_selector.l21	P1
ワークフロー	views/workflow/template_selector.php:22	<input type="text" class="form-control" id="search" name="search" value="<?php echo htmlspecialchars((string)$search); ?>" placeholder="テンプレート名や説明で検索">	workflow.template_selector.l22	P1
ワークフロー	views/workflow/template_selector.php:26	<i class="fas fa-search"></i> 検索	workflow.template_selector.l26	P1
ワークフロー	views/workflow/template_selector.php:28	<a href="<?php echo BASE_PATH; ?>/workflow/create" class="btn btn-outline-secondary">クリア</a>	workflow.template_selector.l28	P1
ワークフロー	views/workflow/template_selector.php:41	<p class="text-muted small mb-3"><?php echo nl2br(htmlspecialchars((string)($template['description'] ?? '説明はありません'))); ?></p>	workflow.template_selector.l41	P1
ワークフロー	views/workflow/template_selector.php:43	<span class="badge bg-light text-dark">作成者: <?php echo htmlspecialchars((string)$template['creator_name']); ?></span>	workflow.template_selector.l43	P1
ワークフロー	views/workflow/template_selector.php:45	<i class="fas fa-file-signature"></i> このテンプレートで申請	workflow.template_selector.l45	P1
ワークフロー	views/workflow/template_selector.php:54	<div class="alert alert-info mb-0">申請可能なテンプレートがありません。</div>	workflow.template_selector.l54	P1
ワークフロー	views/workflow/template_selector.php:76	<nav class="mt-4" aria-label="申請テンプレートページネーション">	workflow.template_selector.l76	P1
JS	Models/DailyReport.php:66	throw new \Exception('タグの保存に失敗しました');	js.dailyreport.l66	P3
JS	Models/DailyReport.php:71	throw new \Exception('公開範囲の保存に失敗しました');	js.dailyreport.l71	P3
JS	Models/DailyReport.php:76	throw new \Exception('関連スケジュールの保存に失敗しました');	js.dailyreport.l76	P3
JS	Models/DailyReport.php:81	throw new \Exception('関連タスクの保存に失敗しました');	js.dailyreport.l81	P3
JS	Models/DailyReport.php:85	throw new \Exception('活動ログの保存に失敗しました');	js.dailyreport.l85	P3
JS	Models/DailyReport.php:89	throw new \Exception('分析明細の保存に失敗しました');	js.dailyreport.l89	P3
JS	Models/DailyReport.php:93	throw new \Exception('添付ファイルの保存に失敗しました');	js.dailyreport.l93	P3
JS	Models/DailyReport.php:157	return true; // 更新するものがない	js.dailyreport.l157	P3
JS	Models/DailyReport.php:161	$values[] = $id; // WHEREの条件用	js.dailyreport.l161	P3
JS	Models/DailyReport.php:175	throw new \Exception('タグの保存に失敗しました');	js.dailyreport.l175	P3
JS	Models/DailyReport.php:188	throw new \Exception('公開範囲の保存に失敗しました');	js.dailyreport.l188	P3
JS	Models/DailyReport.php:201	throw new \Exception('関連スケジュールの保存に失敗しました');	js.dailyreport.l201	P3
JS	Models/DailyReport.php:214	throw new \Exception('関連タスクの保存に失敗しました');	js.dailyreport.l214	P3
JS	Models/DailyReport.php:221	throw new \Exception('活動ログの保存に失敗しました');	js.dailyreport.l221	P3
JS	Models/DailyReport.php:227	throw new \Exception('分析明細の保存に失敗しました');	js.dailyreport.l227	P3
JS	Models/DailyReport.php:233	throw new \Exception('添付ファイルの保存に失敗しました');	js.dailyreport.l233	P3
JS	Models/DailyReport.php:427	$placeholders = '0'; // 組織がない場合は0を使用（常にfalseとなる）	js.dailyreport.l427	P3
JS	Models/DailyReport.php:2134	'project' => ['column' => 'ae.project_id', 'name_sql' => 'COALESCE(p.name, "(未設定)")'],	js.dailyreport.l2134	P3
JS	Models/DailyReport.php:2135	'industry' => ['column' => 'ae.industry_id', 'name_sql' => 'COALESCE(i.name, "(未設定)")'],	js.dailyreport.l2135	P3
JS	Models/DailyReport.php:2136	'product' => ['column' => 'ae.product_id', 'name_sql' => 'COALESCE(pr.name, "(未設定)")'],	js.dailyreport.l2136	P3
JS	Models/DailyReport.php:2137	'process' => ['column' => 'ae.process_id', 'name_sql' => 'COALESCE(ps.name, "(未設定)")']	js.dailyreport.l2137	P3
JS	Controllers/AutomationController.php:26	'title' => '繰り返し業務の自動化',	js.automationcontroller.l26	P3
バリデーション	Controllers/AutomationController.php:35	return ['success' => false, 'error' => 'name と job_type は必須です'];	validation.automationcontroller.l35	P1
JS	Controllers/AutomationController.php:57	return ['success' => false, 'error' => 'ジョブ作成に失敗しました'];	js.automationcontroller.l57	P3
JS	Controllers/AutomationController.php:62	'message' => '自動化ジョブを作成しました',	js.automationcontroller.l62	P3
JS	Controllers/AutomationController.php:71	return ['success' => false, 'error' => 'IDが必要です'];	js.automationcontroller.l71	P3
JS	Controllers/AutomationController.php:78	? ['success' => true, 'message' => '状態を更新しました']	js.automationcontroller.l78	P3
JS	Controllers/AutomationController.php:79	: ['success' => false, 'error' => '状態更新に失敗しました'];	js.automationcontroller.l79	P3
JS	Controllers/AutomationController.php:86	return ['success' => false, 'error' => 'IDが必要です'];	js.automationcontroller.l86	P3
JS	Controllers/AutomationController.php:99	return ['success' => false, 'error' => '管理者のみ実行できます'];	js.automationcontroller.l99	P3
JS	Controllers/AutomationController.php:106	'message' => "処理: {$result['processed']}件 / 成功: {$result['success']}件 / 失敗: {$result['failed']}件"	js.automationcontroller.l106	P3
通知	public/js/notification.js:69	toastr.success('すべての通知を既読にしました');	notifications.notification.l69	P1
通知	public/js/notification.js:113	errorAlert.textContent = data.error || '設定の保存に失敗しました。';	notifications.notification.l113	P1
バリデーション	public/js/notification.js:120	errorAlert.textContent = '通信エラーが発生しました。';	validation.notification.l120	P1
通知	public/js/notification.js:186	}, 300000); // 5分 = 300,000ミリ秒	notifications.notification.l186	P1
ワークフロー	views/workflow/request_view.php:3	$pageTitle = '申請詳細: ' . $request['title'];	workflow.request_view.l3	P1
ワークフロー	views/workflow/request_view.php:37	<h1 class="h3">申請詳細</h1>	workflow.request_view.l37	P1
ワークフロー	views/workflow/request_view.php:42	<i class="fas fa-edit"></i> 編集	workflow.request_view.l42	P1
ワークフロー	views/workflow/request_view.php:46	<i class="fas fa-arrow-left"></i> 申請一覧に戻る	workflow.request_view.l46	P1
ワークフロー	views/workflow/request_view.php:60	'draft' => '<span class="badge bg-secondary">下書き</span>',	workflow.request_view.l60	P1
ワークフロー	views/workflow/request_view.php:61	'pending' => '<span class="badge bg-warning">承認待ち</span>',	workflow.request_view.l61	P1
ワークフロー	views/workflow/request_view.php:62	'approved' => '<span class="badge bg-success">承認済み</span>',	workflow.request_view.l62	P1
ワークフロー	views/workflow/request_view.php:63	'rejected' => '<span class="badge bg-danger">却下</span>',	workflow.request_view.l63	P1
ワークフロー	views/workflow/request_view.php:64	'cancelled' => '<span class="badge bg-info">キャンセル</span>'	workflow.request_view.l64	P1
ワークフロー	views/workflow/request_view.php:66	echo isset($statusLabels[$request['status']]) ? $statusLabels[$request['status']] : '<span class="badge bg-secondary">不明</span>';	workflow.request_view.l66	P1
ワークフロー	views/workflow/request_view.php:73	<div class="col-md-3 fw-bold">テンプレート:</div>	workflow.request_view.l73	P1
ワークフロー	views/workflow/request_view.php:77	<div class="col-md-3 fw-bold">申請者:</div>	workflow.request_view.l77	P1
ワークフロー	views/workflow/request_view.php:81	<div class="col-md-3 fw-bold">申請日時:</div>	workflow.request_view.l81	P1
ワークフロー	views/workflow/request_view.php:82	<div class="col-md-9"><?php echo date('Y年m月d日 H:i', strtotime($request['created_at'])); ?></div>	workflow.request_view.l82	P1
ワークフロー	views/workflow/request_view.php:86	<div class="col-md-3 fw-bold">更新日時:</div>	workflow.request_view.l86	P1
ワークフロー	views/workflow/request_view.php:87	<div class="col-md-9"><?php echo date('Y年m月d日 H:i', strtotime($request['updated_at'])); ?></div>	workflow.request_view.l87	P1
ワークフロー	views/workflow/request_view.php:141	echo '<span class="text-muted">選択なし</span>';	workflow.request_view.l141	P1
ワークフロー	views/workflow/request_view.php:152	echo '<span class="text-muted">添付なし</span>';	workflow.request_view.l152	P1
ワークフロー	views/workflow/request_view.php:157	echo htmlspecialchars($fieldValue ?: '未入力');	workflow.request_view.l157	P1
ワークフロー	views/workflow/request_view.php:172	<i class="fas fa-times"></i> 申請をキャンセル	workflow.request_view.l172	P1
ワークフロー	views/workflow/request_view.php:179	<i class="fas fa-file-pdf"></i> PDFエクスポート	workflow.request_view.l179	P1
ワークフロー	views/workflow/request_view.php:182	<i class="fas fa-file-csv"></i> CSVエクスポート	workflow.request_view.l182	P1
ワークフロー	views/workflow/request_view.php:194	<h5 class="card-title mb-0">承認状況</h5>	workflow.request_view.l194	P1
ワークフロー	views/workflow/request_view.php:199	承認履歴はありません	workflow.request_view.l199	P1
ワークフロー	views/workflow/request_view.php:210	<strong>ステップ <?php echo $approval['step_number']; ?></strong>	workflow.request_view.l210	P1
ワークフロー	views/workflow/request_view.php:218	<span class="text-muted">（代理: <?php echo htmlspecialchars($approval['delegate_name']); ?>）</span>	workflow.request_view.l218	P1
ワークフロー	views/workflow/request_view.php:224	'pending' => '<span class="badge bg-warning">承認待ち</span>',	workflow.request_view.l224	P1
ワークフロー	views/workflow/request_view.php:225	'approved' => '<span class="badge bg-success">承認</span>',	workflow.request_view.l225	P1
ワークフロー	views/workflow/request_view.php:226	'rejected' => '<span class="badge bg-danger">却下</span>',	workflow.request_view.l226	P1
ワークフロー	views/workflow/request_view.php:227	'skipped' => '<span class="badge bg-secondary">スキップ</span>'	workflow.request_view.l227	P1
ワークフロー	views/workflow/request_view.php:253	<label for="comment" class="form-label">コメント</label>	workflow.request_view.l253	P1
ワークフロー	views/workflow/request_view.php:259	<i class="fas fa-times"></i> 却下	workflow.request_view.l259	P1
ワークフロー	views/workflow/request_view.php:262	<i class="fas fa-check"></i> 承認	workflow.request_view.l262	P1
ワークフロー	views/workflow/request_view.php:274	<h5 class="card-title mb-0">コメント</h5>	workflow.request_view.l274	P1
ワークフロー	views/workflow/request_view.php:279	<p class="text-muted">コメントはありません</p>	workflow.request_view.l279	P1
ワークフロー	views/workflow/request_view.php:298	<label for="comment" class="form-label">新しいコメント</label>	workflow.request_view.l298	P1
ワークフロー	views/workflow/request_view.php:301	<i class="fas fa-paper-plane"></i> 送信	workflow.request_view.l301	P1
バリデーション	public/js/daily-report.js:38	placeholder: '選択してください',	validation.daily_report.l38	P1
バリデーション	public/js/daily-report.js:357	alert(response.error || 'エラーが発生しました');	validation.daily_report.l357	P1
バリデーション	public/js/daily-report.js:362	alert('ネットワークエラーが発生しました');	validation.daily_report.l362	P1
JS	public/js/daily-report.js:415	labels.push(`${year}年${month}月`);	js.daily_report.l415	P3
JS	public/js/daily-report.js:424	label: '日報数',	js.daily_report.l424	P3
JS	public/js/daily-report.js:443	text: '月別日報作成数'	js.daily_report.l443	P3
ワークフロー	Controllers/WorkflowController.php:130	'title' => 'ワークフロー管理',	workflow.workflowcontroller.l130	P1
ワークフロー	Controllers/WorkflowController.php:161	'title' => 'ワークフローテンプレート',	workflow.workflowcontroller.l161	P1
ワークフロー	Controllers/WorkflowController.php:184	'title' => '新規テンプレート作成',	workflow.workflowcontroller.l184	P1
ワークフロー	Controllers/WorkflowController.php:221	'title' => 'テンプレート編集',	workflow.workflowcontroller.l221	P1
ワークフロー	Controllers/WorkflowController.php:258	'title' => 'フォームデザイン',	workflow.workflowcontroller.l258	P1
ワークフロー	Controllers/WorkflowController.php:298	'title' => '承認経路設定',	workflow.workflowcontroller.l298	P1
ワークフロー	Controllers/WorkflowController.php:362	'title' => '申請一覧',	workflow.workflowcontroller.l362	P1
ワークフロー	Controllers/WorkflowController.php:396	'title' => '申請テンプレート選択',	workflow.workflowcontroller.l396	P1
ワークフロー	Controllers/WorkflowController.php:445	'title' => '承認待ち一覧',	workflow.workflowcontroller.l445	P1
ワークフロー	Controllers/WorkflowController.php:482	'title' => '新規申請作成',	workflow.workflowcontroller.l482	P1
ワークフロー	Controllers/WorkflowController.php:522	'title' => '申請編集',	workflow.workflowcontroller.l522	P1
ワークフロー	Controllers/WorkflowController.php:580	if ($request['status'] === 'pending') {  // pending 状態の場合のみ	workflow.workflowcontroller.l580	P1
ワークフロー	Controllers/WorkflowController.php:595	'title' => '申請詳細：' . $request['title'],	workflow.workflowcontroller.l595	P1
ワークフロー	Controllers/WorkflowController.php:633	'title' => '代理承認設定',	workflow.workflowcontroller.l633	P1
ワークフロー	Controllers/WorkflowController.php:756	'message' => 'テンプレートを作成しました',	workflow.workflowcontroller.l756	P1
ワークフロー	Controllers/WorkflowController.php:803	'message' => 'テンプレートを更新しました',	workflow.workflowcontroller.l803	P1
ワークフロー	Controllers/WorkflowController.php:841	'message' => 'テンプレートを削除しました',	workflow.workflowcontroller.l841	P1
ワークフロー	Controllers/WorkflowController.php:893	'message' => 'フォームフィールドを追加しました'	workflow.workflowcontroller.l893	P1
ワークフロー	Controllers/WorkflowController.php:935	'message' => 'フォームフィールドを更新しました'	workflow.workflowcontroller.l935	P1
ワークフロー	Controllers/WorkflowController.php:966	'message' => 'フォームフィールドを削除しました'	workflow.workflowcontroller.l966	P1
ワークフロー	Controllers/WorkflowController.php:1017	'message' => '承認ステップを追加しました'	workflow.workflowcontroller.l1017	P1
ワークフロー	Controllers/WorkflowController.php:1059	'message' => '承認ステップを更新しました'	workflow.workflowcontroller.l1059	P1
ワークフロー	Controllers/WorkflowController.php:1090	'message' => '承認ステップを削除しました'	workflow.workflowcontroller.l1090	P1
ワークフロー	Controllers/WorkflowController.php:1117	chmod($uploadDir, 0777); // 書き込み権限を確保	workflow.workflowcontroller.l1117	P1
ワークフロー	Controllers/WorkflowController.php:1143	'message' => '申請を作成しました',	workflow.workflowcontroller.l1143	P1
ワークフロー	Controllers/WorkflowController.php:1190	chmod($uploadDir, 0777); // 書き込み権限を確保	workflow.workflowcontroller.l1190	P1
ワークフロー	Controllers/WorkflowController.php:1214	'message' => '申請を更新しました',	workflow.workflowcontroller.l1214	P1
ワークフロー	Controllers/WorkflowController.php:1258	$actionText = $action === 'approved' ? '承認' : '却下';	workflow.workflowcontroller.l1258	P1
ワークフロー	Controllers/WorkflowController.php:1305	'message' => '申請を' . $actionText . 'しました',	workflow.workflowcontroller.l1305	P1
ワークフロー	Controllers/WorkflowController.php:1337	'message' => '申請をキャンセルしました',	workflow.workflowcontroller.l1337	P1
ワークフロー	Controllers/WorkflowController.php:1386	'message' => 'コメントを追加しました'	workflow.workflowcontroller.l1386	P1
ワークフロー	Controllers/WorkflowController.php:1430	'message' => '代理承認設定を追加しました',	workflow.workflowcontroller.l1430	P1
ワークフロー	Controllers/WorkflowController.php:1471	require_once __DIR__ . '/../vendor/autoload.php'; // TCPDFがインストールされていると仮定	workflow.workflowcontroller.l1471	P1
ワークフロー	Controllers/WorkflowController.php:1480	$pdf->SetTitle('申請書: ' . $exportData['request']['title']);	workflow.workflowcontroller.l1480	P1
ワークフロー	Controllers/WorkflowController.php:1506	$pdf->Cell(0, 10, '申請書: ' . $exportData['request']['title'], 0, 1, 'C');	workflow.workflowcontroller.l1506	P1
ワークフロー	Controllers/WorkflowController.php:1511	$pdf->Cell(0, 10, '基本情報', 0, 1, 'L');	workflow.workflowcontroller.l1511	P1
ワークフロー	Controllers/WorkflowController.php:1514	$pdf->Cell(40, 7, '申請番号:', 0, 0, 'L');	workflow.workflowcontroller.l1514	P1
ワークフロー	Controllers/WorkflowController.php:1517	$pdf->Cell(40, 7, 'テンプレート:', 0, 0, 'L');	workflow.workflowcontroller.l1517	P1
ワークフロー	Controllers/WorkflowController.php:1520	$pdf->Cell(40, 7, '申請者:', 0, 0, 'L');	workflow.workflowcontroller.l1520	P1
ワークフロー	Controllers/WorkflowController.php:1523	$pdf->Cell(40, 7, 'ステータス:', 0, 0, 'L');	workflow.workflowcontroller.l1523	P1
ワークフロー	Controllers/WorkflowController.php:1527	$status = '下書き';	workflow.workflowcontroller.l1527	P1
ワークフロー	Controllers/WorkflowController.php:1530	$status = '承認待ち';	workflow.workflowcontroller.l1530	P1
ワークフロー	Controllers/WorkflowController.php:1533	$status = '承認済み';	workflow.workflowcontroller.l1533	P1
ワークフロー	Controllers/WorkflowController.php:1536	$status = '却下';	workflow.workflowcontroller.l1536	P1
ワークフロー	Controllers/WorkflowController.php:1539	$status = 'キャンセル';	workflow.workflowcontroller.l1539	P1
ワークフロー	Controllers/WorkflowController.php:1547	$pdf->Cell(40, 7, '申請日時:', 0, 0, 'L');	workflow.workflowcontroller.l1547	P1
ワークフロー	Controllers/WorkflowController.php:1548	$pdf->Cell(0, 7, date('Y年m月d日 H:i', strtotime($exportData['request']['created_at'])), 0, 1, 'L');	workflow.workflowcontroller.l1548	P1
ワークフロー	Controllers/WorkflowController.php:1554	$pdf->Cell(0, 10, '申請内容', 0, 1, 'L');	workflow.workflowcontroller.l1554	P1
ワークフロー	Controllers/WorkflowController.php:1604	$pdf->Cell(0, 7, '選択なし', 0, 1, 'L');	workflow.workflowcontroller.l1604	P1
ワークフロー	Controllers/WorkflowController.php:1609	$pdf->Cell(0, 7, '[添付ファイル]', 0, 1, 'L');	workflow.workflowcontroller.l1609	P1
ワークフロー	Controllers/WorkflowController.php:1613	$pdf->Cell(0, 7, $fieldValue ?: '未入力', 0, 1, 'L');	workflow.workflowcontroller.l1613	P1
ワークフロー	Controllers/WorkflowController.php:1621	$pdf->Cell(0, 10, '承認履歴', 0, 1, 'L');	workflow.workflowcontroller.l1621	P1
ワークフロー	Controllers/WorkflowController.php:1627	$pdf->Cell(30, 7, 'ステップ', 1, 0, 'C', 1);	workflow.workflowcontroller.l1627	P1
ワークフロー	Controllers/WorkflowController.php:1628	$pdf->Cell(60, 7, '承認者', 1, 0, 'C', 1);	workflow.workflowcontroller.l1628	P1
ワークフロー	Controllers/WorkflowController.php:1629	$pdf->Cell(30, 7, 'ステータス', 1, 0, 'C', 1);	workflow.workflowcontroller.l1629	P1
ワークフロー	Controllers/WorkflowController.php:1630	$pdf->Cell(40, 7, '日時', 1, 0, 'C', 1);	workflow.workflowcontroller.l1630	P1
ワークフロー	Controllers/WorkflowController.php:1631	$pdf->Cell(0, 7, 'コメント', 1, 1, 'C', 1);	workflow.workflowcontroller.l1631	P1
ワークフロー	Controllers/WorkflowController.php:1637	$approverName .= '（代理: ' . $approval['delegate_name'] . '）';	workflow.workflowcontroller.l1637	P1
ワークフロー	Controllers/WorkflowController.php:1643	$approvalStatus = '承認待ち';	workflow.workflowcontroller.l1643	P1
ワークフロー	Controllers/WorkflowController.php:1646	$approvalStatus = '承認';	workflow.workflowcontroller.l1646	P1
ワークフロー	Controllers/WorkflowController.php:1649	$approvalStatus = '却下';	workflow.workflowcontroller.l1649	P1
ワークフロー	Controllers/WorkflowController.php:1652	$approvalStatus = 'スキップ';	workflow.workflowcontroller.l1652	P1
ワークフロー	Controllers/WorkflowController.php:1661	$pdf->Cell(30, 7, 'ステップ ' . $approval['step_number'], 1, 0, 'C');	workflow.workflowcontroller.l1661	P1
ワークフロー	Controllers/WorkflowController.php:1668	$pdf->Cell(0, 7, '承認履歴はありません', 0, 1, 'L');	workflow.workflowcontroller.l1668	P1
ワークフロー	Controllers/WorkflowController.php:1688	'message' => 'PDFのエクスポートが完了しました'	workflow.workflowcontroller.l1688	P1
ワークフロー	Controllers/WorkflowController.php:1691	return ['error' => 'PDFの生成に失敗しました', 'code' => 500];	workflow.workflowcontroller.l1691	P1
ワークフロー	Controllers/WorkflowController.php:1749	fputcsv($fp, ['基本情報', '']);	workflow.workflowcontroller.l1749	P1
ワークフロー	Controllers/WorkflowController.php:1750	fputcsv($fp, ['申請番号', $exportData['request']['request_number']]);	workflow.workflowcontroller.l1750	P1
ワークフロー	Controllers/WorkflowController.php:1751	fputcsv($fp, ['テンプレート', $exportData['request']['template_name']]);	workflow.workflowcontroller.l1751	P1
ワークフロー	Controllers/WorkflowController.php:1752	fputcsv($fp, ['タイトル', $exportData['request']['title']]);	workflow.workflowcontroller.l1752	P1
ワークフロー	Controllers/WorkflowController.php:1753	fputcsv($fp, ['申請者', $exportData['request']['requester_name']]);	workflow.workflowcontroller.l1753	P1
ワークフロー	Controllers/WorkflowController.php:1759	$status = '下書き';	workflow.workflowcontroller.l1759	P1
ワークフロー	Controllers/WorkflowController.php:1762	$status = '承認待ち';	workflow.workflowcontroller.l1762	P1
ワークフロー	Controllers/WorkflowController.php:1765	$status = '承認済み';	workflow.workflowcontroller.l1765	P1
ワークフロー	Controllers/WorkflowController.php:1768	$status = '却下';	workflow.workflowcontroller.l1768	P1
ワークフロー	Controllers/WorkflowController.php:1771	$status = 'キャンセル';	workflow.workflowcontroller.l1771	P1
ワークフロー	Controllers/WorkflowController.php:1777	fputcsv($fp, ['ステータス', $status]);	workflow.workflowcontroller.l1777	P1
ワークフロー	Controllers/WorkflowController.php:1778	fputcsv($fp, ['申請日時', date('Y年m月d日 H:i', strtotime($exportData['request']['created_at']))]);	workflow.workflowcontroller.l1778	P1
ワークフロー	Controllers/WorkflowController.php:1784	fputcsv($fp, ['申請内容', '']);	workflow.workflowcontroller.l1784	P1
ワークフロー	Controllers/WorkflowController.php:1829	fputcsv($fp, [$field['label'], '選択なし']);	workflow.workflowcontroller.l1829	P1
ワークフロー	Controllers/WorkflowController.php:1834	fputcsv($fp, [$field['label'], '[添付ファイル]']);	workflow.workflowcontroller.l1834	P1
ワークフロー	Controllers/WorkflowController.php:1838	fputcsv($fp, [$field['label'], $fieldValue ?: '未入力']);	workflow.workflowcontroller.l1838	P1
ワークフロー	Controllers/WorkflowController.php:1846	fputcsv($fp, ['承認履歴', '']);	workflow.workflowcontroller.l1846	P1
ワークフロー	Controllers/WorkflowController.php:1850	fputcsv($fp, ['ステップ', '承認者', 'ステータス', '日時', 'コメント']);	workflow.workflowcontroller.l1850	P1
ワークフロー	Controllers/WorkflowController.php:1855	$approverName .= '（代理: ' . $approval['delegate_name'] . '）';	workflow.workflowcontroller.l1855	P1
ワークフロー	Controllers/WorkflowController.php:1861	$approvalStatus = '承認待ち';	workflow.workflowcontroller.l1861	P1
ワークフロー	Controllers/WorkflowController.php:1864	$approvalStatus = '承認';	workflow.workflowcontroller.l1864	P1
ワークフロー	Controllers/WorkflowController.php:1867	$approvalStatus = '却下';	workflow.workflowcontroller.l1867	P1
ワークフロー	Controllers/WorkflowController.php:1870	$approvalStatus = 'スキップ';	workflow.workflowcontroller.l1870	P1
ワークフロー	Controllers/WorkflowController.php:1880	'ステップ ' . $approval['step_number'],	workflow.workflowcontroller.l1880	P1
ワークフロー	Controllers/WorkflowController.php:1888	fputcsv($fp, ['承認履歴はありません']);	workflow.workflowcontroller.l1888	P1
ワークフロー	Controllers/WorkflowController.php:1899	'message' => 'CSVのエクスポートが完了しました'	workflow.workflowcontroller.l1899	P1
ワークフロー	Controllers/WorkflowController.php:1902	return ['error' => 'CSVの生成に失敗しました', 'code' => 500];	workflow.workflowcontroller.l1902	P1
ワークフロー	Controllers/WorkflowController.php:1918	chmod($uploadDir, 0777); // 書き込み権限を確保	workflow.workflowcontroller.l1918	P1
ワークフロー	Controllers/WorkflowController.php:2200	'message' => 'フォーム定義を保存しました'	workflow.workflowcontroller.l2200	P1
ワークフロー	Controllers/WorkflowController.php:2280	'message' => '承認経路定義を保存しました'	workflow.workflowcontroller.l2280	P1
ワークフロー	Controllers/WorkflowController.php:2419	$title = '新しいワークフロー申請が提出されました';	workflow.workflowcontroller.l2419	P1
ワークフロー	Controllers/WorkflowController.php:2420	$content = "{$requester['display_name']}さんから新しい申請が提出されました。\n";	workflow.workflowcontroller.l2420	P1
ワークフロー	Controllers/WorkflowController.php:2421	$content .= "申請タイプ: {$template['name']}\n";	workflow.workflowcontroller.l2421	P1
ワークフロー	Controllers/WorkflowController.php:2422	$content .= "タイトル: {$request['title']}\n";	workflow.workflowcontroller.l2422	P1
ワークフロー	Controllers/WorkflowController.php:2423	$content .= "申請番号: {$request['request_number']}";	workflow.workflowcontroller.l2423	P1
ワークフロー	Controllers/WorkflowController.php:2489	$title = 'ワークフロー申請が承認されました';	workflow.workflowcontroller.l2489	P1
ワークフロー	Controllers/WorkflowController.php:2490	$content = "{$approval['approver_name']}さんが申請を承認しました。\n";	workflow.workflowcontroller.l2490	P1
ワークフロー	Controllers/WorkflowController.php:2491	$content .= "申請タイトル: {$request['title']}\n";	workflow.workflowcontroller.l2491	P1
ワークフロー	Controllers/WorkflowController.php:2492	$content .= "申請番号: {$request['request_number']}";	workflow.workflowcontroller.l2492	P1
ワークフロー	Controllers/WorkflowController.php:2495	$content .= "\n\nコメント: {$comment}";	workflow.workflowcontroller.l2495	P1
ワークフロー	Controllers/WorkflowController.php:2500	$title = 'ワークフロー申請が却下されました';	workflow.workflowcontroller.l2500	P1
ワークフロー	Controllers/WorkflowController.php:2501	$content = "{$approval['approver_name']}さんが申請を却下しました。\n";	workflow.workflowcontroller.l2501	P1
ワークフロー	Controllers/WorkflowController.php:2502	$content .= "申請タイトル: {$request['title']}\n";	workflow.workflowcontroller.l2502	P1
ワークフロー	Controllers/WorkflowController.php:2503	$content .= "申請番号: {$request['request_number']}";	workflow.workflowcontroller.l2503	P1
ワークフロー	Controllers/WorkflowController.php:2506	$content .= "\n\nコメント: {$comment}";	workflow.workflowcontroller.l2506	P1
ワークフロー	Controllers/WorkflowController.php:2563	'title' => '承認待ちのワークフロー申請があります',	workflow.workflowcontroller.l2563	P1
ワークフロー	Controllers/WorkflowController.php:2564	'content' => "あなたの承認が必要なワークフロー申請があります。\n" .	workflow.workflowcontroller.l2564	P1
ワークフロー	Controllers/WorkflowController.php:2565	"申請者: {$requester['display_name']}\n" .	workflow.workflowcontroller.l2565	P1
ワークフロー	Controllers/WorkflowController.php:2566	"申請タイトル: {$request['title']}\n" .	workflow.workflowcontroller.l2566	P1
ワークフロー	Controllers/WorkflowController.php:2567	"申請番号: {$request['request_number']}\n" .	workflow.workflowcontroller.l2567	P1
ワークフロー	Controllers/WorkflowController.php:2568	"承認ステップ: {$step['step_name']}",	workflow.workflowcontroller.l2568	P1
ワークフロー	Controllers/WorkflowController.php:2608	$title = 'ワークフロー申請にコメントが追加されました';	workflow.workflowcontroller.l2608	P1
ワークフロー	Controllers/WorkflowController.php:2609	$content = "{$commenter['display_name']}さんが申請にコメントを追加しました。\n" .	workflow.workflowcontroller.l2609	P1
ワークフロー	Controllers/WorkflowController.php:2610	"申請タイトル: {$request['title']}\n" .	workflow.workflowcontroller.l2610	P1
ワークフロー	Controllers/WorkflowController.php:2611	"申請番号: {$request['request_number']}\n\n" .	workflow.workflowcontroller.l2611	P1
ワークフロー	Controllers/WorkflowController.php:2612	"コメント: {$comment}";	workflow.workflowcontroller.l2612	P1
ワークフロー	Controllers/WorkflowController.php:2663	'title' => 'ワークフロー申請が承認されました',	workflow.workflowcontroller.l2663	P1
ワークフロー	Controllers/WorkflowController.php:2664	'content' => "あなたの申請「{$request['title']}」({$request['request_number']})がすべての承認ステップを完了し、承認されました。\n" .	workflow.workflowcontroller.l2664	P1
ワークフロー	Controllers/WorkflowController.php:2665	"申請タイプ: {$template['name']}",	workflow.workflowcontroller.l2665	P1
